Study,CPT,Intended Diagnosis,Sensitivity,Specificity,Positive Likelihood ratio,Negative Likelihood ratio,Cost,comments,,,,,,
hfe gene mutation,81256,Hemochromatosis,.913-924,.988-1,n/a,n/a,,,https://www.ncbi.nlm.nih.gov/pubmed/18310265,,,,,
acetaminophen level,80329,tylenol overdose,n/a,n/a,n/a,n/a,,,,,,,,
alcohol level,80320,intoxication,n/a,n/a,n/a,n/a,,,,,,,,
c anca,86021,wegeners,0.66,0.98,33,0.346938776,,,https://www.ncbi.nlm.nih.gov/pubmed/7486487,,,,,
p anca,86021,microscopic polyangiitis,,,,,,,,,,,,
barium enema,74270,colon cancer,0.71,0.98,35.5,0.295918367,,lesions > 7mm,http://www.ajronline.org/doi/pdf/10.2214/ajr.174.6.1741529,,,,,
direct bili,82247,,,,,,,,,,,,,
indirect bili,82248,,,,,,,,,,,,,
blood cultures,87070,sepsis,na,na,na,na,,up to 1/3 contaminated ,Effects of volume and site of blood draw on blood culture results,,,,,specification and susceptibilities are more
bnp,83880,heart failure,0.9,0.76,3.75,0.131578947,,cutoff 100,https://www.ncbi.nlm.nih.gov/pubmed/12124404,,,,,
calcium,82310,n/a,n/a,n/a,na,na,,albumin adjusted not great in ICU pts https://ccforum.biomedcentral.com/articles/10.1186/cc12384,,,,,,
ionized calcium,82330,n/a,n/a,n/a,na,na,,,,,,,,
fecal calprotectin,83993,ibd,0.93,0.96,23.25,0.072916667,,https://www.ncbi.nlm.nih.gov/pubmed/20634346,,,,,,
copper,82525,Wilsons Disease,0.75,0.96,18.75,0.260416667,,>200 in ALI,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4881751/,,,,,
ceruloplasmin,82390,Wilsons Disease,0.56,0.63,1.513513514,0.698412698,,< 20 in ALI,by nephelemetry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4881751/,,,,
ceruloplasmin,82390,Wilsons Disease,0.21,0.84,1.3125,0.94047619,,< 20 in ALI,by oxidase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4881751/,,,,
cdiff cx,87081,,,,,,,http://jcm.asm.org/content/51/3/869.full,,,,,,
cdiff pcr/nucleic acid testing,87493,,,,,,,http://jcm.asm.org/content/51/3/869.full,,,,,,
colonoscopy,45378,Colon Ca,gold standard,gold standard,n/a,n/a,,,,,,,,
c3,86160 ,,,,,,,,,,,,,
c4,86160 ,,,,,,,,,,,,,
Am cortisol,82533,adrenal insufficiency,,,,,,,,,,,,
cryptosporidium,87328,cryptosporidium diarrhea,0.87,0.98,43.5,0.132653061,,http://www.mayomedicallaboratories.com/test-catalog/Clinical+and+Interpretive/80335,,,,,,
ct angiogram abdomen,74175 ,mesenteric ischemia,0.96,0.94,16,0.042553191,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3602491/,,,,,,
ct enterography,74177,,,,,,,,,,,,,
echocardiogram,93351,n/a,n/a,n/a,n/a,n/a,,,,,,,,
ekg,93000,n/a,n/a,n/a,n/a,n/a,,,,,,,,
elastase,82656,pancreatic function,.9-1,.93-98,n/a,n/a,,https://www.gdx.net/core/one-page-test-descriptions/Pancreatic-Elastase-Test-Description.pdf,,,,,,
endomysial iga antibody,86255,celiac disease,.579-.9,1,confirmed,n/a,,http://cvi.asm.org/content/7/4/584/T1.expansion.html,,,,,,
anti gliadin iga,83516,celiac disease,.55-.684,.635-1,n/a,n/a,,http://cvi.asm.org/content/7/4/584/T1.expansion.html,,,,,,
anti gliadin igg,83516,celiac disease,.684-.95,.8-1,n/a,n/a,,http://cvi.asm.org/content/7/4/584/T1.expansion.html,,,,,,
hepatitis panel,80074,,,,,,,,,,,,,
IgM anti-HAV antibodie,86708,hepatitis a,nearly 1,nearly 1,confirmed,confirmed,,http://www.medscape.com/viewarticle/765040_4 reference 30,,,,,,
hep b sag,87340,hep b,n/a,n/a,n/a,n/a,,http://www.mims.com/resources/drugs/common/CP0022.gif,,,,,,
hep b sab,86706,hep b,n/a,n/a,n/a,n/a,,http://www.mims.com/resources/drugs/common/CP0022.gif,,,,,,
hep b cab,86705,hep b,n/a,n/a,n/a,n/a,,http://www.mims.com/resources/drugs/common/CP0022.gif,,,,,,
hep c ab,86803,hep c,0.989,1,confirmed,0.011,,https://www.ncbi.nlm.nih.gov/pubmed/11264728,comment - window period,,,,,
cryptococcal antigen,86403,cryptococcus,1,0.998,500,0,,assay dependent,http://www.mayomedicallaboratories.com/test-catalog/Clinical+and+Interpretive/62075,,,,,
stool o and p,87177+87209 ,infectious diarrhea,0.72,1,confirmed,0.28,,"for 1 sample, sensitivity compared to 3 samples",https://academic.oup.com/cid/article/42/7/972/323806/A-Rational-Approach-to-the-Stool-Ova-and-Parasite,,,,,
lactate,83605,mesenteric ischemia,0.86,0.44,1.535714286,0.318181818,,http://onlinelibrary.wiley.com/doi/10.1111/acem.12254/pdf,,,,,,
lactate,83605,sepsis,0.34,0.82,1.888888889,0.804878049,,https://www.ncbi.nlm.nih.gov/pubmed/25155163,,,,,,
ldh,83615,n/a,n/a,n/a,n/a,n/a,,,,,,,,
urine microalbumin,82043 ,microalbuminuria in a 24 hr collection,0.876,0.875,7.008,0.141714286,,cutoff 9.9 mg/g - stats for microalb/cr ratio,https://www.ncbi.nlm.nih.gov/pubmed/15752236,,,,,
urine protein,84156,proteinuria in a 24 hr collection,0.8065,1,confirmed,0.1935,,cutoff .3 g/g - stats for prot/cr ratio,https://www.ncbi.nlm.nih.gov/pubmed/22091286,,,,,
urine creatinine,82570 ,n/a,n/a,n/a,n/a,n/a,,,,,,,,
urine sodium,84300,n/a,n/a,n/a,n/a,n/a,,,,,,,,
urine urea,84540 ,n/a,n/a,n/a,n/a,n/a,,,,,,,,
ipth,83970 ,n/a,n/a,n/a,n/a,n/a,,,,,,,,
pthrp,83519,n/a,n/a,n/a,n/a,n/a,,,,,,,,
25 vit d,82306,n/a,n/a,n/a,n/a,n/a,,,,,,,,
1/25 vit d,82652,n/a,n/a,n/a,n/a,n/a,,,,,,,,
plasma metanephrines,83835,pheo,0.99,0.89,9,0.011235955,,https://www.ncbi.nlm.nih.gov/pubmed/11903030,,,,,,
ppd,86580,TB,.59-1,.95-1,n/a,n/a,,variable by cutoff and also location,https://www.ncbi.nlm.nih.gov/pubmed/8583267,,,,,
quantiferon gold,86480,TB,0.81,0.97,27,0.195876289,,https://www.ncbi.nlm.nih.gov/pubmed/16799073,,,,,,
retic count,85045,n/a,n/a,n/a,n/a,n/a,,,,,,,,
RF,86431,rheumatoid arthritis,0.69,0.85,4.6,0.364705882,,https://www.ncbi.nlm.nih.gov/pubmed/17548411,,,,,,
anti ccp,86200,rheumatoid arthritis,0.67,0.95,13.4,0.347368421,,https://www.ncbi.nlm.nih.gov/pubmed/17548411,,,,,,
stool cx,87045,,,,,,,,,,,,,
stool electorlytes,"82438, 84302, 84311","sodium, k, cl",,,,,,,,,,,,
stool wbc,89055,,,,,,,,,,,,,
thyroglobulin antibody,86800,,,,,,,,,,,,,
tpo antibody,86376,,,,,,,,,,,,,
ttg iga and igg,11073,,,,,,,,,,,,,
uds,80306,,,,,,,,,,,,,
vit k,84597,,,,,,,,,,,,,
vitamin a,84590,,,,,,,,,,,,,
serum vip level,84586,,,,,,,,,,,,,
whipple serology,87798,,,,,,,,,,,,,
procalcitonin,84145,sepsis,,,,,,,,,,,,
anti pla2r,?,,,,,,,,,,,,,
BK,87799,,,,,,,,,,,,,
Erythropoetin level,82668,,,,,,,,,,,,,
TMP2/IGFBP7,?,,,,,,,,,,,,,
DSA,"86834, 86835",,,,,,,,,,,,,
urine eosinophils,85999,,0.308,0.682,0.968553459,1.014662757,,1 percent cutoff,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3817898/,,,,,
beta hydroxybutyrate,82010 ,DKA,n/a,n/a,n/a,n/a,,,,,,,,
urine ketones,urinalysis,DKA,0.99,0.69,3.193548387,0.014492754,,https://www.ncbi.nlm.nih.gov/pubmed/10459090,,,,,,
PD cell ct,89051,peritonitis,,,,,,,,,,,,
PD culture,87070 ,peritonitis,0.95,0.8,4.75,0.0625,,https://www.ncbi.nlm.nih.gov/pubmed/10459090,,,,,,
ckmb,82553,MI at 2 hrs,0.211,0.905,2.221052632,0.871823204,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,,,,,
ckmb,82553,MI at 10 hrs,0.96,0.98,48,0.040816327,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,,,,,
ctni,84484,MI at 10 hrs,0.923,0.946,17.09259259,0.081395349,,https://www.ncbi.nlm.nih.gov/pubmed/10459090,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
ctnt,84484,MI at 10 hrs,0.87,0.93,12.42857143,0.139784946,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
ctni,84484,MI at 2 hrs,0.158,0.968,4.9375,0.869834711,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
ctnt,84484,MI at 2 hrs,0.105,0.984,6.5625,0.909552846,,https://www.ncbi.nlm.nih.gov/pubmed/10459090,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
ctni,84484,MI at 6 hrs,0.575,0.943,10.0877193,0.45068929,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
ctnt,84484,MI at 6 hrs,0.617,0.961,15.82051282,0.398543184,,https://www.ncbi.nlm.nih.gov/pubmed/10190875,,"Cardiac troponin T was assayed by use of the Cardiac Troponin T Assay (Boehringer Mannheim Corp), which has an upper normal limit of 0.1 ng/mL. Cardiac troponin I was assayed by the Stratus Cardiac Troponin I Fluorometric Enzyme Immunoassay (Dade International Inc), which has an upper normal limit of 1.5 ng/mL",,,,
CT abdomen pelvis with contrast,74146,Appendictis,0.94,0.95,18.8,0.063157895,,https://www.ncbi.nlm.nih.gov/pubmed/15466771,,,,,,
CT abdomen pelvis with contrast,74146,pancreatitis,0.92,1,confirmed,0.08,,http://emedicine.medscape.com/article/371613-overview,,,,,,
CT abdomen pelvis with contrast,74146,cholecystitis,0.917,0.991,101.8888889,0.083753784,,https://www.ncbi.nlm.nih.gov/pubmed/11804880,,,,,,
CT abdomen pelvis with contrast,74146,small bowel obstruction,0.876,0.75,3.504,0.165333333,,https://www.ncbi.nlm.nih.gov/pubmed/18534800,,,,,,
